id,eventDate,number,prizeThirdNumber,prizeType,eventType,eventLetters,eventSerie,eventFolio
2011-10-26S,2011-10-26,6488,8,S,Intermedio,CBAB,10,15
2011-10-26T,2011-10-26,2047,4,T,Intermedio,CBAB,10,15
2011-10-28F,2011-10-28,2898,9,F,Zodiaco,CDBC,7,6
2011-10-28S,2011-10-28,35,3,S,Zodiaco,CDBC,7,6
2011-10-28T,2011-10-28,62,6,T,Zodiaco,CDBC,7,6
2011-10-30F,2011-10-30,2456,5,F,Dominical,CDAA,15,11
2011-10-30S,2011-10-30,3252,5,S,Dominical,CDAA,15,11
2011-10-30T,2011-10-30,3703,0,T,Dominical,CDAA,15,11
2011-11-02F,2011-11-02,3812,1,F,Intermedio,DCDA,6,13
2011-11-02S,2011-11-02,8848,4,S,Intermedio,DCDA,6,13
2011-11-02T,2011-11-02,3596,9,T,Intermedio,DCDA,6,13
2011-11-06F,2011-11-06,101,0,F,Dominical,ACDB,18,14
2011-11-06S,2011-11-06,9937,3,S,Dominical,ACDB,18,14
2011-11-06T,2011-11-06,3202,0,T,Dominical,ACDB,18,14
2011-11-09F,2011-11-09,9613,1,F,Intermedio,DADC,3,1
2011-11-09S,2011-11-09,1230,3,S,Intermedio,DADC,3,1
2011-11-09T,2011-11-09,3199,9,T,Intermedio,DADC,3,1
2011-11-13F,2011-11-13,4973,7,F,Dominical,CBBB,8,13
2011-11-13S,2011-11-13,3222,2,S,Dominical,CBBB,8,13
2011-11-13T,2011-11-13,8579,7,T,Dominical,CBBB,8,13
2011-11-16F,2011-11-16,5703,0,F,Intermedio,CBBC,5,1
2011-11-16S,2011-11-16,4180,8,S,Intermedio,CBBC,5,1
2011-11-16T,2011-11-16,6060,6,T,Intermedio,CBBC,5,1
2011-11-20F,2011-11-20,7737,3,F,Dominical,BCBB,1,4
2011-11-20S,2011-11-20,4061,6,S,Dominical,BCBB,1,4
2011-11-20T,2011-11-20,2325,2,T,Dominical,BCBB,1,4
2011-11-23F,2011-11-23,2062,6,F,Intermedio,CBAB,5,5
2011-11-23S,2011-11-23,8309,0,S,Intermedio,CBAB,5,5
2011-11-23T,2011-11-23,0067,6,T,Intermedio,CBAB,5,5
2011-11-25F,2011-11-25,6783,8,F,Zodiaco,BCCC,6,18
2011-11-25S,2011-11-25,52,5,S,Zodiaco,BCCC,6,18
2011-11-25T,2011-11-25,10,1,T,Zodiaco,BCCC,6,18
2011-11-27F,2011-11-27,7257,5,F,Dominical,DDCA,10,7
2011-11-27S,2011-11-27,7779,7,S,Dominical,DDCA,10,7
2011-11-27T,2011-11-27,6750,5,T,Dominical,DDCA,10,7
2011-11-30F,2011-11-30,8059,5,F,Intermedio,CDCA,6,7
2011-11-30S,2011-11-30,9619,1,S,Intermedio,CDCA,6,7
2011-11-30T,2011-11-30,7925,2,T,Intermedio,CDCA,6,7
2011-12-04F,2011-12-04,988,8,F,Dominical,BCCC,5,3
2011-12-04S,2011-12-04,9529,2,S,Dominical,BCCC,5,3
2011-12-04T,2011-12-04,7952,5,T,Dominical,BCCC,5,3
2011-12-07F,2011-12-07,9540,4,F,Intermedio,CBDC,15,8
2011-12-07S,2011-12-07,8890,9,S,Intermedio,CBDC,15,8
2011-12-07T,2011-12-07,1919,1,T,Intermedio,CBDC,15,8
2011-12-11F,2011-12-11,1789,8,F,Dominical,AACD,8,1
